[220:02] 好不好我覺得超好喝
[220:03] 來這個要自己加了喔
[220:05] A43
[220:06] 好不好
[220:06] A43
[220:07] 所以你要賣那個了嗎
[220:08] 我
[220:09] 照片倒不太到
[220:10] 那影片倒不太到
[220:11] 我們就直接給他們看吧
[220:12] 我準備那個了
[220:15] 什麼 相片倒不太到
[220:16] 影片倒不太到
[220:18] 好來
[220:18] 再來很多人再問這個好不好
[220:21] 我們就先出給大家
[220:23] 因為很多人在問
[220:24] 來
[220:24] 這個是
[220:25] 好事多
[220:26] 這是夠
[220:27] 現在非常火紅的好不好
[220:29] 非常火紅的隔夜夜班
[220:30] 它不只是日本好事多
[220:32] 全球好事多都在搶這款
[220:34] 全球好事多都在搶的
[220:36] 我們等一下跟你們講一下
[220:38] 它要怎麼泡好不好
[220:39] 剛A43真的很好喝喔
[220:40] 你們就一杯11塊
[220:42] 你千萬不要只買一箱
[220:44] 你會後悔好不好
[220:45] 那個真的很好喝
[220:46] 然後喝起來非常的清爽
[220:48] 喝起來非常的清爽
[220:49] 來
[220:50] 這個
[220:51] 你要來介紹嗎
[220:52] 好 來跟你們講一下
[220:53] 來 你們這個叫什麼
[220:55] 他們這個是現在
[220:56] 它剛有泡一個我打開
[220:56] 這裡啊
[220:58] 有撕開的耶
[220:58] 好
[221:00] 它去哪來了
[221:01] 來
[221:02] 我跟你講
[221:03] 這個是
[221:05] 這個是不是只有日本在想
[221:08] 它全世界都在搶這包
[221:10] 全世界的好事多都在搶這包
[221:12] 等一下跟大家介紹一下好不好
[221:14] 它這個叫做什麼
[221:15] 它是要做我們的
[221:16] 有機閣業業賣
[221:19] 有機閣業那個
[221:20] 企壓值業賣美國口味的
[221:21] 加拿大的 加拿大的
[221:23] 沒錯
[221:23] 加拿大的
[221:25] 那我剛好像找到一個
[221:26] 來
[221:27] 剛剛有在等這個幫我刷一排等
[221:29] 好不好
[221:29] 剛剛有在等這一個
[221:31] 這一個一直問的
[221:32] 幫我刷一排等
[221:33] 我看有多少人從剛剛等到現在
[221:35] 好不好
[221:35] 我看有多少人從剛剛等到現在
[221:37] 很多人等我們等一下才開田田家
[221:40] 好不好
[221:40] 很多人等我們才開田田家
[221:42] 所以你現在要幹嘛
[221:43] 我看這個是不是 對
[221:44] 來 我跟他講
[221:46] 它是加拿大的有機
[221:48] 有機 然後隔夜企壓值業賣
[221:50] 什麼叫隔夜
[221:51] 就是我們建議前一晚先泡起來
[221:54] 它裡面有有機業賣
[221:55] 我先給它給你們倒出來
[221:56] 給你們看一下
[221:58] 來 你們看一下
[221:58] 它是粉狀
[221:59] 對
[222:01] 它是這樣子粉狀
[222:03] 然後有機業賣
[222:04] 裡面有什麼
[222:05] Omega3
[222:06] 還有企壓值
[222:07] 跟那個美國果乾
[222:09] 然後你看有顏色
[222:10] 但它沒有添加任何人工香料
[222:12] 色素跟防腐劑
[222:14] 超級超級健康
[222:16] 沒錯
[222:16] 而且還有高膳食纖維
[222:18] 可以促進腸胃道滷洞
[222:20] 幫助消化
[222:21] 還可以怎樣
[222:21] 有飽足感
[222:23] 然後剛有說
[222:24] Omega3可以怎樣
[222:25] 穩定血糖
[222:26] 對
[222:26] 然後甜度非常的適中
[222:28] 不會太甜
[222:29] 也不會說不甜
[222:31] 喝起來味道很好喝
[222:32] 對 然後這個品牌
[222:33] 它是來自於加拿大的品牌
[222:35] 然後我跟你講
[222:36] 它這個風靡全球
[222:37] 現在包括日本也都在搶
[222:39] 然後我跟你講
[222:40] 台灣買不到
[222:41] 台灣買不到
[222:42] 你找代購買
[222:43] 我先跟你講
[222:43] 等一下
[222:44] 代購都賣900塊
[222:46] 1000塊
[222:47] 都快破千了
[222:48] 因為都搶不到了嘛
[222:49] 都搶不到
[222:49] 900你還買不到
[222:50] 我們今天不用
[222:51] 我們今天不用
[222:52] 大家都在等啦
[222:52] 我們今天不會賣你們900塊
[222:54] 我繼續介紹
[222:55] 我跟你講
[222:55] 它是使用那個
[222:56] 現在這個是
[222:57] 現在我們是用那個
[222:58] 日本Casso那邊
[222:59] 限定上架的
[223:00] 然後它結合
[223:01] 夜賣奇牙籽美國風味
[223:03] 你在
[223:04] 你一個早餐不用開貨
[223:05] 不用煮
[223:06] 你只需要
[223:07] 再前一碗
[223:08] 前一碗
[223:08] 然後把這個
[223:09] 跟加水
[223:10] 或加牛奶
[223:11] 或是你想要加豆漿
[223:13] 你想要加椰麥
[223:14] 加煎鴿啊
[223:15] 什麼都可以
[223:16] 然後你只要把它冰到冷藏裡面
[223:18] 冰到冰箱
[223:19] 就睡覺前嘛
