[00:00] 來來來開始囉 大家晚安
[00:05] 大家晚安 收發音樂
[00:07] 大家晚安大家好 來聯絡點一下
[00:11] 晚安晚安 來趕快進來趕快進來
[00:15] 在直播間就可以這樣大吵大鬧
[00:18] 真的 隨便我們吵
[00:20] 在直播間就可以很熱鬧
[00:22] 我跟你講 今天中午
[00:23] 我歡迎機動一下 隔壁就這樣
[00:25] 對
[00:26] 你知道嗎 外面日本人
[00:28] 跟我們比較不一樣
[00:30] 對 日本人比較好
[00:31] 會嚇一跳
[00:32] 對 會被我們的熱情嚇到
[00:34] 然後來到直播間
[00:35] 我們就可以
[00:36] 不是大吵大鬧啦
[00:37] 就是對
[00:39] 把我們的熱情讓你們看到
[00:42] 來 我們中午12點
[00:44] 大家晚安 大家晚安
[00:46] 今天先公開分享五次
[00:48] 今天先公開分享五次
[00:49] 來到我們的日本連線第二場
[00:51] 我們中午12點
[00:52] 有在那個好市多現場
[00:54] Cosco現場開播
[00:56] 所以如果中午沒有跟到的朋友一樣
[00:58] 可以看直播會飯
[00:59] 大家晚安
[01:00] 那因為中午在那邊開播
[01:02] 就沒有辦法吃給大家看
[01:04] 泡給大家看 吃給大家看
[01:06] 所以晚上我就決定說
[01:08] 晚上我們就回直播間
[01:10] 買回直播間
[01:11] 然後可以直接吃給你們看
[01:13] 然後可以直接泡給你們看
[01:15] 讓大家比較了解裡面的東西
[01:17] 是什麼
[01:18] 沒錯
[01:19] 來 晚安晚安
[01:20] 今天先公開分享五次
[01:21] 對 中午生意很佳意
[01:23] 我們稍微兩個人一起講話
[01:24] 我旁邊經過的人就會
[01:26] 就會說就覺得
[01:27] 就會比較大聲一點
[01:28] 好不好
[01:29] 所以我們中午就是
[01:30] 以儘量不影響別人為主
[01:32] 然後晚上我講說
[01:34] 既然大家中午
[01:35] 已經看到我們在好市多
[01:36] 逛了一圈
[01:37] 那晚上我們就把
[01:38] 商品買回直播間
[01:40] 然後全部都可以拆開吃給你們看
[01:42] 這樣你們也比較知道
[01:44] 我們剛剛不是去廁所買什麼
[01:45] 我忘了
[01:46] 你沒有買到你的水
