[60:00] 你們買我的燕黃素果凍
[60:01] 但如果呢
[60:02] 你今天想要嘗試看看
[60:04] 好市多限定的這種
[60:05] 燕黃素夾心的保健軟糖
[60:07] 也可以嘗試看看
[60:09] 他吃起來是像那種
[60:10] 牛奶糖口味的
[60:11] 牛奶小熊蚊的產品
[60:14] 沒有了
[60:15] 這兩天過兩天看看
[60:17] 好不好
[60:17] 明後天幫我留意看看
[60:19] 好
[60:20] 今天好像沒有
[60:21] 今天小熊蚊蚊蚊的都出完了
[60:22] 待會請起立地的
[60:24] 好不好
[60:24] 待會請起立地的
[60:25] 然後小熊蚊蚊蚊蚊
[60:27] 一百週年天來
[60:27] 小布光網有一系列的商品
[60:29] 你也可以去看一下
[60:30] 來
[60:31] 這個我再講一次
[60:31] 裡面有180顆
[60:33] 10MG的燕黃素
[60:35] 給我一個
[60:35] 每天兩顆有10MG的燕黃素
[60:39] 來
[60:39] 是軟糖沒錯
[60:41] 好不好 是軟糖
[60:42] 然後是芒果口味的
[60:43] 芒果口味的
[60:43] 來 這樣子打開給你們看
[60:45] 比較清楚一點
[60:47] 它是這樣子
[60:48] 然後裡面是芒果夾心
[60:50] 然後裡面是燕黃素
[60:51] 裡面是燕黃素
[60:53] 來
[60:53] 今天要的
[60:54] 我們就想要快速
[60:55] 擠醉上可以吃
[60:56] 幫我看一下
[60:57] 好
[60:59] 還是那個
[61:00] 它沒有特別
[61:00] 它就是那一道
[61:01] 小朋友會吃糖果就可以
[61:02] 對
[61:03] 小朋友可以吃糖果就可以
[61:05] 小朋友會吃糖果就可以了
[61:07] 然後呢
[61:07] 它裡面總共就是一百
[61:09] 三個月份量
[61:10] 好不好
[61:11] 三個月份量
[61:12] 芒果口味
[61:13] 芒果口味
[61:14] 不是
[61:14] 就是像牛奶糖那種
[61:16] 那種
[61:16] 那種有點嚼勁的那種感覺
[61:19] 好不好
[61:19] 它就是含著
[61:20] 然後到最後像牛奶糖那樣
[61:21] 你要嚼一嚼
[61:22] 然後把它化掉再吞下去的
[61:24] 來
[61:25] A1 2 1
[61:26] 軟糖黏在包裝裡面怎麼辦
[61:28] 就拿出來
[61:30] 天氣太熱
[61:31] 它才會黏在包裝裡面
